,CUSTOMERID,GENERO,IDOSO,CASADO,DEPENDENTES,TEMPO_COMO_CLIENTE,SERVICO_TELEFONE,SERVICO_INTERNET,SERVICO_SEGURANCA,SUPORTE_TECNICO,STREAMINGTV,TIPO_CONTRATO,METODO_PAGAMENTO,PAGAMENTO_MENSAL,TOTAL_PAGO,CHURN
524,8397-MVTAZ,MASCULINO,0,SIM,NAO,34,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,100.05,3480.0,1
525,0750-EBAIU,MASCULINO,0,NAO,NAO,52,SIM,FIBER OPTIC,SIM,NAO,SIM,UM ANO,ENVIO POR E-MAIL,91.25,4738.3,0
526,8606-CIQUL,MASCULINO,1,SIM,SIM,72,SIM,FIBER OPTIC,SIM,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,115.75,8399.15,0
527,3571-DPYUH,MASCULINO,0,SIM,SIM,58,SIM,FIBER OPTIC,NAO,SIM,SIM,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,94.7,5430.35,0
528,7601-GNDYK,MASCULINO,0,SIM,SIM,35,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,ENVIO POR CORREIO,19.6,686.95,0
529,0356-OBMAC,FEMININO,1,NAO,NAO,56,SIM,FIBER OPTIC,NAO,SIM,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,99.9,5706.3,0
530,8067-NIOYM,FEMININO,0,SIM,SIM,24,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,21.1,490.65,0
531,1403-GYAFU,MASCULINO,0,SIM,SIM,70,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,20.05,1360.25,0
532,4234-XTNEA,MASCULINO,0,NAO,NAO,2,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,79.95,174.45,0
533,1297-VQDRP,MASCULINO,1,SIM,SIM,68,SIM,FIBER OPTIC,NAO,SIM,SIM,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,107.15,7379.8,0
534,9282-IZGQK,FEMININO,0,NAO,NAO,1,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,85.0,85.0,1
535,5348-CAGXB,MASCULINO,0,NAO,NAO,12,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,89.55,1021.75,0
536,0621-HJWXJ,FEMININO,0,SIM,NAO,63,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,81.55,5029.05,0
537,5844-QVTAT,FEMININO,0,SIM,SIM,33,SIM,DSL,SIM,NAO,NAO,UM ANO,ENVIO POR CORREIO,58.45,1955.4,0
538,8905-IAZPF,FEMININO,0,SIM,NAO,69,SIM,FIBER OPTIC,NAO,NAO,SIM,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,95.65,6744.2,0
539,5394-MEITZ,FEMININO,0,SIM,SIM,60,SIM,DSL,NAO,SIM,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,80.6,4946.7,0
540,6859-QNXIQ,FEMININO,0,SIM,SIM,72,SIM,FIBER OPTIC,SIM,SIM,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,113.1,8248.5,0
541,2782-LFZVW,FEMININO,0,NAO,NAO,11,SIM,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,58.95,601.6,0
542,2866-IKBTM,FEMININO,0,NAO,NAO,1,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,19.55,19.55,0
543,1342-JPNKI,MASCULINO,0,NAO,NAO,10,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,86.05,834.1,1
544,2817-NTQDO,MASCULINO,0,NAO,NAO,13,SIM,DSL,SIM,SIM,SIM,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,45.55,597.0,1
545,7129-AZJDE,MASCULINO,0,SIM,SIM,34,SIM,FIBER OPTIC,NAO,NAO,NAO,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,78.95,2647.2,0
546,6986-IJDHX,MASCULINO,0,SIM,SIM,39,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR CORREIO,86.3,3266.0,1
547,2560-PPCHE,FEMININO,0,NAO,NAO,65,SIM,FIBER OPTIC,NAO,SIM,SIM,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,105.05,6744.25,0
548,4676-MQUEA,MASCULINO,1,SIM,NAO,50,SIM,FIBER OPTIC,SIM,NAO,SIM,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,101.9,5265.5,0
549,8138-EALND,MASCULINO,0,NAO,NAO,15,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,19.75,311.6,0
550,3580-HYCSP,MASCULINO,0,SIM,SIM,72,SIM,FIBER OPTIC,SIM,NAO,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,110.3,7966.9,0
551,1352-HNSAW,FEMININO,0,SIM,SIM,72,SIM,FIBER OPTIC,SIM,SIM,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,115.6,8220.4,0
552,2075-PUEPR,MASCULINO,0,SIM,SIM,55,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,19.35,1153.25,0
553,1982-FEBTD,FEMININO,0,SIM,SIM,23,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,25.6,514.75,0
554,5301-GAUUY,MASCULINO,0,NAO,NAO,32,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,80.35,2596.15,1
555,5791-KAJFD,FEMININO,0,SIM,SIM,56,SIM,DSL,SIM,NAO,NAO,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,68.75,3808.0,0
556,2654-VBVPB,FEMININO,0,NAO,NAO,1,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,19.9,19.9,0
557,1154-HYWWO,MASCULINO,0,NAO,NAO,38,SIM,DSL,SIM,SIM,SIM,UM ANO,ENVIO POR CORREIO,70.6,2708.2,0
558,2501-XWWTZ,MASCULINO,0,NAO,NAO,11,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,70.2,760.05,0
559,3716-UVSPD,MASCULINO,0,NAO,NAO,1,SIM,DSL,NAO,SIM,NAO,MES-A-MES,ENVIO POR E-MAIL,49.3,49.3,0
560,6815-ABQFQ,MASCULINO,0,SIM,NAO,56,SIM,FIBER OPTIC,NAO,SIM,SIM,UM ANO,ENVIO POR E-MAIL,107.25,6033.3,0
561,7343-EOBEU,MASCULINO,0,SIM,NAO,3,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,23.6,89.05,0
562,3701-SFMUH,MASCULINO,0,SIM,SIM,7,SIM,DSL,SIM,NAO,SIM,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,69.7,516.15,0
563,6103-LIANB,MASCULINO,0,SIM,SIM,59,SIM,FIBER OPTIC,NAO,NAO,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,99.5,5861.75,0
564,7319-VENRZ,MASCULINO,0,NAO,NAO,7,SIM,DSL,NAO,SIM,SIM,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,64.3,445.95,0
565,5846-NEQVZ,MASCULINO,0,SIM,SIM,71,SIM,DSL,SIM,SIM,NAO,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,70.85,4973.4,0
566,6967-QIQRV,MASCULINO,0,SIM,SIM,15,SIM,FIBER OPTIC,SIM,SIM,SIM,UM ANO,ENVIO POR E-MAIL,101.9,1667.25,0
567,5781-RFZRP,MASCULINO,0,SIM,NAO,71,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,73.5,5357.75,0
568,0939-YAPAF,FEMININO,0,NAO,NAO,35,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,100.25,3527.6,1
569,0308-IVGOK,FEMININO,0,NAO,NAO,11,SIM,DSL,NAO,SIM,NAO,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,40.4,422.6,0
570,7293-LSCDV,FEMININO,0,SIM,SIM,60,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,19.25,1103.25,0
571,7025-WCBNE,MASCULINO,1,NAO,NAO,47,SIM,DSL,NAO,SIM,NAO,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,59.6,2754.0,0
572,5756-JYOJT,FEMININO,0,NAO,NAO,11,SIM,DSL,NAO,SIM,NAO,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,64.9,697.25,0
573,4710-FDUIZ,MASCULINO,0,SIM,NAO,56,SIM,FIBER OPTIC,NAO,NAO,SIM,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,100.3,5614.45,1
574,6030-REHUX,FEMININO,1,SIM,NAO,28,SIM,FIBER OPTIC,NAO,SIM,SIM,MES-A-MES,ENVIO POR E-MAIL,110.85,3204.4,0
575,9548-LIGTA,MASCULINO,0,SIM,NAO,61,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,ENVIO POR CORREIO,81.05,4747.65,0
576,5150-LJNSR,MASCULINO,0,SIM,SIM,31,SIM,FIBER OPTIC,SIM,NAO,SIM,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,98.05,3082.1,0
577,8270-RKSAP,MASCULINO,0,NAO,NAO,9,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,70.5,597.9,0
578,6522-YRBXD,MASCULINO,1,SIM,NAO,35,SIM,FIBER OPTIC,SIM,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,94.55,3365.4,0
579,2640-LYMOV,MASCULINO,0,NAO,NAO,2,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,19.65,38.8,0
580,1218-VKFPE,FEMININO,0,SIM,SIM,12,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,19.0,233.55,1
581,3627-FHKBK,FEMININO,0,NAO,NAO,1,SIM,FIBER OPTIC,SIM,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,75.3,75.3,1
582,2865-TCHJW,FEMININO,1,NAO,NAO,4,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,89.2,346.2,1
583,1423-BMPBQ,FEMININO,0,SIM,SIM,1,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,19.0,19.0,0
584,2393-DIVAI,FEMININO,0,NAO,NAO,3,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,20.0,61.7,0
585,5192-EBGOV,FEMININO,1,NAO,NAO,1,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,85.7,85.7,1
586,4568-KNYWR,MASCULINO,0,NAO,NAO,52,SIM,DSL,SIM,NAO,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,63.25,3342.45,0
587,8752-IMQOS,MASCULINO,0,SIM,SIM,5,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,UM ANO,ENVIO POR CORREIO,20.1,85.1,0
588,0742-LAFQK,MASCULINO,0,SIM,NAO,72,SIM,FIBER OPTIC,SIM,NAO,NAO,DOIS ANOS,ENVIO POR E-MAIL,99.15,7422.1,0
589,0795-LAFGP,MASCULINO,0,SIM,SIM,71,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,ENVIO POR E-MAIL,90.4,6668.05,0
590,0619-OLYUR,MASCULINO,0,SIM,NAO,72,SIM,FIBER OPTIC,SIM,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,111.9,8071.05,0
591,5512-IDZEI,MASCULINO,0,SIM,SIM,46,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,UM ANO,ENVIO POR E-MAIL,24.9,1174.8,0
592,0459-SPZHJ,MASCULINO,0,SIM,SIM,63,SIM,DSL,SIM,NAO,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,83.5,5435.0,0
593,0215-BQKGS,MASCULINO,0,NAO,NAO,30,SIM,FIBER OPTIC,SIM,NAO,NAO,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,84.3,2438.6,0
594,9244-ZVAPM,MASCULINO,0,NAO,NAO,1,SIM,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,45.6,45.6,0
595,0719-SYFRB,FEMININO,0,NAO,NAO,12,SIM,DSL,SIM,SIM,NAO,MES-A-MES,ENVIO POR CORREIO,61.65,713.75,1
596,8208-EUMTE,MASCULINO,0,NAO,NAO,16,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,ENVIO POR CORREIO,54.85,916.15,0
597,5172-MIGPM,MASCULINO,0,NAO,NAO,4,SIM,DSL,NAO,SIM,NAO,MES-A-MES,ENVIO POR CORREIO,65.55,237.2,0
598,1710-RCXUS,MASCULINO,0,SIM,NAO,51,SIM,FIBER OPTIC,NAO,NAO,NAO,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,90.35,4614.55,0
599,0374-FIUCA,MASCULINO,0,SIM,NAO,65,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,20.4,1414.45,0
600,5839-SUYVZ,MASCULINO,0,NAO,NAO,16,SIM,FIBER OPTIC,NAO,SIM,NAO,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,74.55,1170.5,0
601,5173-ZXXXL,MASCULINO,0,NAO,NAO,2,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,UM ANO,ENVIO POR CORREIO,19.95,47.7,0
602,1096-ADRUX,FEMININO,0,SIM,SIM,66,SIM,FIBER OPTIC,NAO,NAO,NAO,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,74.25,4859.25,0
603,2001-MCUUW,MASCULINO,0,NAO,NAO,46,SIM,FIBER OPTIC,NAO,SIM,SIM,DOIS ANOS,ENVIO POR E-MAIL,108.65,4903.2,0
604,2731-GJRDG,FEMININO,0,NAO,NAO,32,SIM,FIBER OPTIC,SIM,SIM,SIM,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,109.55,3608.0,0
605,4723-BEGSG,MASCULINO,0,SIM,NAO,72,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,86.65,6094.25,0
606,6516-NKQBO,MASCULINO,0,SIM,SIM,38,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,81.0,3084.9,0
607,8672-OAUPW,MASCULINO,0,NAO,SIM,51,SIM,DSL,NAO,SIM,NAO,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,47.85,2356.75,0
608,8207-DMRVL,MASCULINO,0,SIM,SIM,72,SIM,FIBER OPTIC,SIM,SIM,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,114.55,8306.05,0
609,3419-SNJJD,FEMININO,1,SIM,NAO,65,SIM,FIBER OPTIC,SIM,NAO,SIM,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,105.25,6786.4,1
610,6543-CPZMK,MASCULINO,0,SIM,SIM,9,SIM,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,29.95,248.95,1
611,4765-OXPPD,FEMININO,0,SIM,SIM,9,SIM,DSL,SIM,SIM,NAO,MES-A-MES,ENVIO POR CORREIO,65.0,663.05,1
612,2804-ETQDK,MASCULINO,0,NAO,SIM,66,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,ENVIO POR CORREIO,20.55,1357.1,0
613,6689-VRRTK,FEMININO,1,NAO,NAO,44,SIM,FIBER OPTIC,SIM,NAO,SIM,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,109.8,4860.35,0
614,7138-GIRSH,MASCULINO,0,NAO,NAO,50,SIM,DSL,NAO,SIM,NAO,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,69.5,3418.2,0
615,9396-ZSFLL,FEMININO,0,NAO,NAO,15,SIM,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,48.85,631.4,0
616,6464-KEXXH,MASCULINO,0,NAO,NAO,8,SIM,DSL,NAO,NAO,NAO,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,186.3,0
617,7134-MJPDY,FEMININO,1,NAO,NAO,66,SIM,FIBER OPTIC,NAO,SIM,SIM,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,6976.75,0
618,5240-CAOYT,FEMININO,0,NAO,NAO,57,SIM,FIBER OPTIC,SIM,SIM,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,4884.85,0
619,4059-IIEBK,FEMININO,0,NAO,NAO,7,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,522.95,0
620,4881-JVQOD,MASCULINO,1,SIM,SIM,10,SIM,DSL,NAO,NAO,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,362.6,0
621,0516-UXRMT,FEMININO,0,NAO,NAO,62,SIM,FIBER OPTIC,SIM,NAO,NAO,UM ANO,ENVIO POR E-MAIL,65.60756321839081,5755.8,0
622,4851-BQDNX,MASCULINO,0,SIM,SIM,40,SIM,FIBER OPTIC,NAO,NAO,SIM,UM ANO,ENVIO POR E-MAIL,65.60756321839081,3355.65,0
623,5148-HKFIR,FEMININO,0,NAO,NAO,20,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,ENVIO POR CORREIO,65.60756321839081,406.95,0
624,1009-IRMNA,FEMININO,0,NAO,NAO,7,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,137.6,1
625,3003-CMDUU,FEMININO,0,SIM,NAO,25,SIM,FIBER OPTIC,NAO,SIM,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,2395.7,0
626,5016-IBERQ,MASCULINO,0,SIM,NAO,23,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,1968.1,0
627,6797-UCJHZ,FEMININO,1,SIM,NAO,66,SIM,FIBER OPTIC,NAO,NAO,SIM,UM ANO,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,6819.45,0
628,2469-DTSGX,FEMININO,1,NAO,NAO,72,SIM,FIBER OPTIC,NAO,SIM,SIM,DOIS ANOS,ENVIO POR E-MAIL,65.60756321839081,7943.45,0
629,4554-YGZIH,MASCULINO,1,SIM,NAO,49,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,4547.25,1
630,5099-BAILX,MASCULINO,1,SIM,SIM,43,SIM,FIBER OPTIC,NAO,SIM,SIM,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,4687.9,1
631,9931-KGHOA,FEMININO,0,SIM,NAO,46,SIM,DSL,SIM,NAO,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,2473.95,0
632,1775-KWJKQ,MASCULINO,0,SIM,SIM,72,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,65.60756321839081,6562.9,0
633,7665-VIGUD,MASCULINO,0,NAO,NAO,10,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,UM ANO,ENVIO POR CORREIO,65.60756321839081,176.3,0
634,9411-TPQQV,FEMININO,0,NAO,NAO,40,SIM,DSL,SIM,SIM,SIM,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,65.60756321839081,2236.2,0
635,7207-RMRDB,FEMININO,0,SIM,SIM,65,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,65.60756321839081,6985.65,1
636,7954-MLBUN,MASCULINO,0,NAO,NAO,31,SIM,FIBER OPTIC,NAO,SIM,SIM,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,99.45,3109.9,0
637,2077-DDHJK,FEMININO,0,SIM,NAO,68,SIM,DSL,SIM,SIM,NAO,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,70.9,4911.35,0
638,4913-EHYUI,MASCULINO,1,SIM,SIM,56,SIM,FIBER OPTIC,SIM,NAO,SIM,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,104.55,5794.65,1
639,0195-IESCP,MASCULINO,0,SIM,NAO,10,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,85.25,855.3,1
640,9574-BOSMD,MASCULINO,0,SIM,SIM,68,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,25.4,1620.2,0
641,4580-TMHJU,FEMININO,0,SIM,SIM,43,SIM,DSL,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,56.15,2499.3,1
642,0970-ETWGE,MASCULINO,0,NAO,NAO,1,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,89.55,89.55,1
643,4908-XAXAY,FEMININO,1,NAO,NAO,49,SIM,FIBER OPTIC,NAO,NAO,NAO,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,89.85,4287.2,0
644,8404-VLQFB,FEMININO,0,SIM,SIM,15,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR E-MAIL,25.25,394.85,0
645,1626-ERCMM,MASCULINO,1,SIM,NAO,20,SIM,FIBER OPTIC,NAO,NAO,SIM,MES-A-MES,ENVIO POR E-MAIL,94.55,1899.65,1
646,0887-HJGAR,MASCULINO,0,NAO,NAO,1,SIM,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,45.7,45.7,1
647,2391-IPLOP,MASCULINO,0,SIM,SIM,50,SIM,DSL,NAO,SIM,SIM,UM ANO,ENVIO POR E-MAIL,69.65,3442.15,0
648,5644-PDMZC,FEMININO,1,NAO,NAO,2,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR E-MAIL,89.5,161.5,1
649,3509-GWQGF,MASCULINO,1,NAO,NAO,24,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,70.0,1732.6,0
650,9576-ANLXO,FEMININO,0,NAO,NAO,3,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,69.55,222.3,1
651,2024-BASKD,FEMININO,0,NAO,NAO,1,SIM,FIBER OPTIC,NAO,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,74.6,74.6,1
652,5845-BZZIB,MASCULINO,0,SIM,SIM,35,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,DOIS ANOS,ENVIO POR CORREIO,20.1,655.3,0
653,1140-UKVZG,FEMININO,0,NAO,NAO,17,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR CORREIO,24.8,475.25,0
654,4160-AMJTL,FEMININO,1,NAO,NAO,8,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,ENVIO POR E-MAIL,19.65,164.3,1
655,5183-SNMJQ,MASCULINO,0,NAO,NAO,10,SIM,FIBER OPTIC,NAO,SIM,SIM,MES-A-MES,CARTAO DE CREDITO - DEBITO AUTOMATICO,95.1,865.1,0
656,8100-PNJMH,MASCULINO,0,SIM,SIM,68,SIM,DSL,SIM,SIM,SIM,DOIS ANOS,CARTAO DE CREDITO - DEBITO AUTOMATICO,88.85,6132.7,0
657,7838-LAZFO,MASCULINO,0,SIM,NAO,45,SIM,DSL,SIM,NAO,SIM,UM ANO,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,78.8,3597.5,0
658,4464-JCOLN,MASCULINO,0,SIM,SIM,2,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,UM ANO,ENVIO POR CORREIO,19.85,35.9,1
659,2085-JVGAD,MASCULINO,0,SIM,NAO,37,SIM,NAO,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,SEM SERVICO DE INTERNET,MES-A-MES,TRANSFERENCIA BANCARIA - DEBITO AUTOMATICO,20.35,697.65,0
660,5650-VDUDS,FEMININO,0,NAO,NAO,4,SIM,DSL,NAO,NAO,NAO,MES-A-MES,ENVIO POR CORREIO,24.25,96.05,1
